Time (s),Accelerometer - X (g),Accelerometer - Y (g),Accelerometer - Z (g),Accelerometer - Total (g)
0.00,-0.02,0.10,1.02,1.02
0.15,-0.23,0.43,1.04,1.15
0.30,-0.16,-0.47,0.84,0.98
0.45,0.12,-0.29,0.89,0.94
0.60,0.04,-0.18,0.83,0.85
0.75,0.25,-0.18,0.84,0.90
0.90,-0.17,0.25,1.09,1.13
1.05,-0.45,0.25,0.89,1.02
1.20,-0.17,0.04,1.26,1.28
1.35,0.06,0.05,0.66,0.66
1.50,0.31,0.39,1.08,1.19
1.65,-0.54,0.02,1.22,1.33
1.80,-0.11,0.04,0.56,0.58
1.98,-0.32,0.15,1.26,1.31
2.10,-0.01,0.40,0.81,0.90
2.25,-0.20,-0.03,0.96,0.98
2.40,0.09,-0.14,0.09,0.19
2.55,-0.04,0.39,1.29,1.35
2.79,0.15,0.38,1.22,1.28
2.85,-0.35,0.48,1.12,1.27
3.00,-0.16,0.25,0.95,1.00
3.15,-0.23,-0.07,1.01,1.04
3.30,0.06,0.75,1.17,1.39
3.45,0.07,0.63,0.81,1.03
3.60,0.04,0.48,0.87,0.99
3.75,-0.08,0.13,0.98,0.99
3.90,-0.18,0.01,1.00,1.01
4.05,-0.14,0.10,1.01,1.03
4.20,0.21,0.22,1.28,1.32
4.35,-0.20,-0.16,0.63,0.68
4.50,0.08,-0.40,0.89,0.98
4.65,-0.46,-0.27,1.01,1.14
4.80,-0.56,0.22,1.48,1.59
4.95,-0.11,0.04,0.96,0.96
5.10,0.50,-0.32,0.89,1.07
5.25,0.34,0.09,0.89,0.96
5.40,-0.34,-0.12,0.99,1.06
5.55,-0.21,0.21,0.93,0.97
5.70,-0.49,-0.09,0.73,0.89
5.85,-0.42,0.05,0.08,0.43
6.00,-0.16,0.14,1.06,1.08
6.15,0.17,-0.31,0.12,0.38
6.30,-0.18,0.32,1.78,1.81
6.45,-0.19,0.29,1.39,1.44
6.60,0.70,0.43,1.33,1.56
6.75,0.13,-0.33,0.88,0.95
6.90,-0.31,0.02,1.43,1.47
7.05,-0.28,0.00,0.70,0.75
7.20,0.11,0.14,1.75,1.76
7.32,-0.11,0.13,1.35,1.36
7.50,-0.04,0.48,1.27,1.36
7.65,-0.09,0.44,0.81,0.93
7.80,-0.24,0.38,0.79,0.91
8.00,-0.03,0.21,1.04,1.06
8.13,0.10,0.05,1.02,1.02
8.25,0.15,-0.11,0.98,0.99
8.37,0.01,-0.01,1.16,1.16
8.52,0.44,0.02,1.30,1.38
8.67,-0.07,-0.56,0.66,0.87
8.82,0.25,-0.37,1.00,1.10
8.97,0.47,-0.00,0.93,1.04
9.12,-0.10,0.02,1.40,1.41
9.27,-0.67,-0.15,1.14,1.33
9.42,-0.65,0.19,1.06,1.26
9.62,-0.47,-0.10,1.19,1.28
9.75,0.17,0.01,0.80,0.82
9.87,-0.24,0.10,1.59,1.61
10.02,-0.22,-0.05,0.71,0.74
10.17,-0.45,0.05,1.01,1.11
10.32,0.07,-0.06,1.33,1.33
10.47,0.20,-0.13,0.70,0.74
10.62,-0.12,-0.32,1.60,1.63
10.79,-0.08,0.91,1.47,1.73
10.92,-0.22,-0.01,0.63,0.67
11.07,-0.31,0.03,1.39,1.42
11.22,-0.13,0.03,1.14,1.14
11.37,0.25,0.13,0.73,0.79
11.52,-0.10,0.16,0.92,0.94
11.67,-0.15,-0.19,0.77,0.81
11.82,-0.02,0.02,-0.30,0.30
11.97,0.11,0.52,1.44,1.53
12.12,-0.25,0.74,0.79,1.11
12.27,0.20,0.63,0.58,0.88
12.42,-0.15,0.44,0.92,1.03
12.57,-0.05,0.33,1.01,1.06
12.78,-0.01,0.05,1.02,1.02
12.87,0.00,-0.06,1.00,1.00
13.02,0.42,0.22,0.96,1.07
13.17,-0.27,-0.62,0.67,0.96
13.32,-0.43,-0.21,0.25,0.54
13.47,-0.04,-0.28,0.23,0.37
13.62,0.21,-0.50,0.28,0.61
13.77,-0.32,-1.01,-0.15,1.07
13.92,0.02,-0.28,0.66,0.72
14.07,-0.17,-0.49,1.39,1.48
14.22,-0.32,0.59,1.53,1.67
14.37,0.16,-0.12,2.31,2.32
14.52,0.37,-0.27,3.38,3.41
14.67,0.56,-0.45,-0.62,0.95
14.82,1.31,5.27,-3.45,6.44
14.97,-1.12,0.35,1.01,1.55
15.12,0.04,0.90,1.36,1.63
15.27,0.11,1.08,0.34,1.14
15.42,-0.16,0.70,0.60,0.94
15.57,0.05,1.00,1.02,1.43
15.72,-0.02,0.64,0.62,0.88
15.87,0.12,0.64,0.98,1.18
16.02,-0.05,0.32,1.00,1.05
16.17,0.17,0.06,0.89,0.91
16.32,-0.24,0.29,0.86,0.94
16.47,-0.09,-0.08,0.91,0.92
16.62,-0.02,-0.63,0.62,0.89
16.77,-0.23,-0.84,0.88,1.24
16.92,-0.34,-0.07,1.13,1.18
17.07,-0.55,-0.45,0.91,1.16
17.22,-0.13,-0.72,1.20,1.40
17.37,0.26,-0.12,1.32,1.36
17.52,-0.01,-0.05,1.29,1.29
17.67,-0.05,0.06,0.70,0.70
17.82,-0.04,0.29,-0.22,0.37
17.98,-0.37,0.47,1.32,1.45
18.12,0.31,0.22,1.53,1.58
18.27,-0.42,0.40,1.44,1.55
18.42,-0.23,-0.55,1.39,1.52
18.57,0.26,0.01,1.75,1.77
18.72,-0.01,-0.18,0.59,0.62
18.87,0.42,-0.03,0.11,0.43
19.02,-0.02,-0.48,0.23,0.53
19.17,0.29,0.01,0.62,0.68
19.32,0.19,0.03,0.86,0.89
19.47,0.38,-0.14,1.58,1.63
19.62,-0.30,-0.15,1.03,1.08
19.77,-0.17,-0.09,3.50,3.51
19.92,0.34,-0.32,0.28,0.54
20.07,-0.19,0.58,0.82,1.02
20.22,0.49,0.10,0.38,0.63
20.40,-0.14,0.09,0.47,0.50
20.52,0.11,-0.16,0.97,0.99
20.67,0.02,-0.30,1.34,1.38
20.82,0.56,0.61,1.44,1.66
20.97,-0.10,-0.17,1.22,1.24
21.12,0.12,-0.38,0.18,0.44
21.27,-0.36,0.07,1.31,1.36
21.42,-0.49,0.45,1.68,1.80
21.57,0.01,-0.12,0.62,0.63
21.72,-0.30,0.12,0.93,0.98
21.87,-0.41,0.59,2.11,2.22
