Time (s),Distance - X (cm),Distance - Y (cm),Distance - Total (cm)
0.00,0.00,0.00,0.00
0.15,0.00,0.00,0.00
0.30,0.00,3.00,3.00
0.45,1.00,5.00,5.24
0.60,3.00,7.00,8.06
0.75,6.00,10.00,12.31
0.90,10.00,14.00,17.96
1.05,14.00,18.00,23.62
1.20,19.00,22.00,30.02
1.35,23.00,27.00,36.43
1.50,27.00,31.00,42.08
1.65,31.00,35.00,47.74
1.80,36.00,39.00,54.14
1.98,40.00,44.00,60.55
2.10,44.00,48.00,66.20
2.25,48.00,53.00,72.61
2.40,53.00,57.00,79.01
2.55,57.00,61.00,84.67
2.79,61.00,66.00,91.07
2.85,66.00,70.00,97.47
3.00,70.00,74.00,103.13
3.15,74.00,78.00,108.79
3.30,76.00,81.00,112.39
3.45,78.00,83.00,115.22
3.60,80.00,85.00,118.05
3.75,82.00,86.00,120.29
3.90,83.00,87.00,121.70
4.05,83.00,87.00,121.70
4.20,83.00,87.00,121.70
4.35,84.00,90.00,124.86
4.50,85.00,92.00,127.10
4.65,85.00,94.00,129.10
4.80,87.00,96.00,131.93
4.95,91.00,98.00,136.40
5.10,96.00,101.00,142.23
5.25,99.00,105.00,147.23
5.40,103.00,109.00,152.89
5.55,106.00,113.00,157.89
5.70,111.00,117.00,164.29
5.85,116.00,121.00,170.69
6.00,120.00,125.00,176.35
6.15,124.00,129.00,182.01
6.30,128.00,134.00,188.41
6.45,133.00,138.00,194.81
6.60,137.00,142.00,200.47
6.75,142.00,146.00,206.87
6.90,145.00,151.00,212.70
7.05,150.00,155.00,219.11
7.20,154.00,159.00,224.76
7.32,159.00,163.00,231.17
7.50,162.00,166.00,235.41
7.65,164.00,169.00,239.01
7.80,166.00,171.00,241.84
8.00,168.00,173.00,244.67
8.13,170.00,173.00,246.67
8.25,170.00,174.00,247.67
8.37,170.00,174.00,247.67
8.52,170.00,175.00,248.67
8.67,170.00,179.00,252.67
8.82,170.00,181.00,254.67
8.97,171.00,183.00,256.91
9.12,176.00,186.00,262.74
9.27,181.00,189.00,268.57
9.42,185.00,193.00,274.23
9.62,189.00,199.00,281.44
9.75,192.00,203.00,286.44
9.87,197.00,208.00,293.51
10.02,203.00,211.00,300.22
10.17,207.00,216.00,306.62
10.32,211.00,221.00,313.02
10.47,216.00,226.00,320.09
10.62,221.00,231.00,327.17
10.79,225.00,235.00,332.82
10.92,230.00,240.00,339.89
11.07,235.00,245.00,346.96
11.22,240.00,251.00,354.77
11.37,245.00,256.00,361.85
11.52,250.00,260.00,368.25
11.67,254.00,265.00,374.65
11.82,259.00,270.00,381.72
11.97,262.00,273.00,385.97
12.12,265.00,276.00,390.21
12.27,267.00,278.00,393.04
12.42,269.00,280.00,395.87
12.57,270.00,281.00,397.28
12.78,270.00,281.00,397.28
12.87,271.00,282.00,398.69
13.02,272.00,283.00,400.11
13.17,273.00,287.00,404.23
13.32,276.00,292.00,410.06
13.47,283.00,298.00,419.28
13.62,293.00,307.00,432.73
13.77,306.00,320.00,451.12
13.92,325.00,339.00,477.99
14.07,344.00,359.00,505.58
14.22,363.00,378.00,532.45
14.37,382.00,399.00,560.77
14.52,402.00,419.00,589.05
14.67,421.00,438.00,615.92
14.82,437.00,455.00,639.27
14.97,449.00,466.00,655.54
15.12,461.00,478.00,672.51
15.27,470.00,487.00,685.24
15.42,479.00,495.00,697.28
15.57,482.00,498.00,701.53
15.72,486.00,501.00,706.53
15.87,489.00,503.00,710.13
16.02,491.00,505.00,712.96
16.17,493.00,507.00,715.79
16.32,494.00,508.00,717.20
16.47,496.00,510.00,720.03
16.62,499.00,511.00,723.19
16.77,502.00,515.00,728.19
16.92,503.00,519.00,732.32
17.07,503.00,529.00,742.32
17.22,503.00,540.00,753.32
17.37,503.00,553.00,766.32
17.52,503.00,566.00,779.32
17.67,504.00,580.00,793.35
17.82,504.00,595.00,808.35
17.98,504.00,609.00,822.35
18.12,504.00,624.00,837.35
18.27,504.00,637.00,850.35
18.42,504.00,651.00,864.35
18.57,505.00,665.00,878.39
18.72,505.00,679.00,892.39
18.87,506.00,693.00,906.42
19.02,506.00,707.00,920.42
19.17,506.00,721.00,934.42
19.32,506.00,735.00,948.42
19.47,506.00,749.00,962.42
19.62,506.00,764.00,977.42
19.77,507.00,778.00,991.46
19.92,507.00,792.00,1005.46
20.07,507.00,806.00,1019.46
20.22,507.00,820.00,1033.46
20.40,507.00,835.00,1048.46
20.52,508.00,849.00,1062.50
20.67,508.00,864.00,1077.50
20.82,509.00,878.00,1091.53
20.97,509.00,892.00,1105.53
21.12,509.00,905.00,1118.53
21.27,509.00,917.00,1130.53
21.42,509.00,931.00,1144.53
21.57,509.00,945.00,1158.53
21.72,510.00,960.00,1173.56
21.87,510.00,974.00,1187.56
22.02,510.00,981.00,1194.56
22.17,510.00,989.00,1202.56
22.32,511.00,995.00,1208.65
22.47,511.00,998.00,1211.65
22.68,511.00,1000.00,1213.65
22.82,512.00,1001.00,1215.06
22.92,512.00,1002.00,1216.06
23.07,512.00,1002.00,1216.06
23.22,513.00,1002.00,1217.06
23.37,513.00,1002.00,1217.06
23.52,513.00,1002.00,1217.06
