Time (s),Location - X (cm),Location - Y (cm)
0.00,0.00,0.00
0.15,0.00,0.00
0.30,0.00,3.00
0.45,-1.00,5.00
0.60,-3.00,7.00
0.75,-6.00,10.00
0.90,-10.00,14.00
1.05,-14.00,18.00
1.20,-19.00,22.00
1.35,-23.00,27.00
1.50,-27.00,31.00
1.65,-31.00,35.00
1.80,-36.00,39.00
1.98,-40.00,44.00
2.10,-44.00,48.00
2.25,-48.00,53.00
2.40,-53.00,57.00
2.55,-57.00,61.00
2.79,-61.00,66.00
2.85,-66.00,70.00
3.00,-70.00,74.00
3.15,-74.00,78.00
3.30,-76.00,81.00
3.45,-78.00,83.00
3.60,-80.00,85.00
3.75,-82.00,86.00
3.90,-83.00,87.00
4.05,-83.00,87.00
4.20,-83.00,87.00
4.35,-84.00,90.00
4.50,-85.00,92.00
4.65,-85.00,94.00
4.80,-83.00,96.00
4.95,-79.00,98.00
5.10,-74.00,101.00
5.25,-71.00,105.00
5.40,-67.00,109.00
5.55,-64.00,113.00
5.70,-59.00,117.00
5.85,-54.00,121.00
6.00,-50.00,125.00
6.15,-46.00,129.00
6.30,-42.00,134.00
6.45,-37.00,138.00
6.60,-33.00,142.00
6.75,-28.00,146.00
6.90,-25.00,151.00
7.05,-20.00,155.00
7.20,-16.00,159.00
7.32,-11.00,163.00
7.50,-8.00,166.00
7.65,-6.00,169.00
7.80,-4.00,171.00
8.00,-2.00,173.00
8.13,0.00,173.00
8.25,0.00,174.00
8.37,0.00,174.00
8.52,0.00,175.00
8.67,0.00,179.00
8.82,0.00,181.00
8.97,-1.00,183.00
9.12,-6.00,186.00
9.27,-11.00,189.00
9.42,-15.00,193.00
9.62,-19.00,199.00
9.75,-22.00,203.00
9.87,-27.00,208.00
10.02,-33.00,211.00
10.17,-37.00,216.00
10.32,-41.00,221.00
10.47,-46.00,226.00
10.62,-51.00,231.00
10.79,-55.00,235.00
10.92,-60.00,240.00
11.07,-65.00,245.00
11.22,-70.00,251.00
11.37,-75.00,256.00
11.52,-80.00,260.00
11.67,-84.00,265.00
11.82,-89.00,270.00
11.97,-92.00,273.00
12.12,-95.00,276.00
12.27,-97.00,278.00
12.42,-99.00,280.00
12.57,-100.00,281.00
12.78,-100.00,281.00
12.87,-101.00,282.00
13.02,-102.00,283.00
13.17,-101.00,287.00
13.32,-98.00,292.00
13.47,-91.00,298.00
13.62,-81.00,307.00
13.77,-68.00,320.00
13.92,-49.00,339.00
14.07,-30.00,359.00
14.22,-11.00,378.00
14.37,8.00,399.00
14.52,28.00,419.00
14.67,47.00,438.00
14.82,63.00,455.00
14.97,75.00,466.00
15.12,87.00,478.00
15.27,96.00,487.00
15.42,105.00,495.00
15.57,108.00,498.00
15.72,112.00,501.00
15.87,115.00,503.00
16.02,117.00,505.00
16.17,119.00,507.00
16.32,120.00,508.00
16.47,122.00,510.00
16.62,125.00,509.00
16.77,128.00,505.00
16.92,129.00,501.00
17.07,129.00,491.00
17.22,129.00,480.00
17.37,129.00,467.00
17.52,129.00,454.00
17.67,128.00,440.00
17.82,128.00,425.00
17.98,128.00,411.00
18.12,128.00,396.00
18.27,128.00,383.00
18.42,128.00,369.00
18.57,127.00,355.00
18.72,127.00,341.00
18.87,126.00,327.00
19.02,126.00,313.00
19.17,126.00,299.00
19.32,126.00,285.00
19.47,126.00,271.00
19.62,126.00,256.00
19.77,125.00,242.00
19.92,125.00,228.00
20.07,125.00,214.00
20.22,125.00,200.00
20.40,125.00,185.00
20.52,124.00,171.00
20.67,124.00,156.00
20.82,123.00,142.00
20.97,123.00,128.00
21.12,123.00,115.00
21.27,123.00,103.00
21.42,123.00,89.00
21.57,123.00,75.00
21.72,122.00,60.00
21.87,122.00,46.00
22.02,122.00,39.00
22.17,122.00,31.00
22.32,123.00,25.00
22.47,123.00,22.00
22.68,123.00,20.00
22.82,122.00,19.00
22.92,122.00,18.00
23.07,122.00,18.00
23.22,123.00,18.00
23.37,123.00,18.00
23.52,123.00,18.00
