Time (s),Orientation - Pitch (°),Orientation - Roll (°),Orientation - Yaw (°)
0.00,-4.00,0.00,1.00
0.15,-2.00,0.00,3.00
0.30,18.00,-6.00,38.00
0.45,16.00,2.00,45.00
0.60,10.00,9.00,45.00
0.75,1.00,8.00,45.00
0.90,-2.00,3.00,45.00
1.05,-5.00,-1.00,45.00
1.20,-3.00,-1.00,45.00
1.35,-4.00,-1.00,44.00
1.50,-5.00,-3.00,45.00
1.65,-3.00,-4.00,45.00
1.80,-3.00,-5.00,44.00
1.98,-3.00,-1.00,45.00
2.10,-7.00,2.00,44.00
2.25,-4.00,1.00,45.00
2.40,-4.00,-2.00,44.00
2.55,-4.00,-2.00,45.00
2.79,-4.00,0.00,44.00
2.85,-2.00,-1.00,45.00
3.00,-2.00,-5.00,44.00
3.15,-2.00,-6.00,45.00
3.30,-21.00,0.00,44.00
3.45,-30.00,5.00,45.00
3.60,-24.00,3.00,45.00
3.75,-8.00,-4.00,44.00
3.90,-1.00,-9.00,44.00
4.05,-3.00,-7.00,44.00
4.20,-4.00,-2.00,42.00
4.35,9.00,5.00,-8.00
4.50,20.00,-1.00,-39.00
4.65,13.00,-16.00,-46.00
4.80,2.00,-19.00,-47.00
4.95,2.00,0.00,-46.00
5.10,0.00,10.00,-46.00
5.25,-1.00,3.00,-46.00
5.40,-1.00,-10.00,-45.00
5.55,-4.00,-16.00,-45.00
5.70,-1.00,-6.00,-44.00
5.85,0.00,5.00,-46.00
6.00,0.00,6.00,-44.00
6.15,-3.00,-1.00,-45.00
6.30,-5.00,-6.00,-45.00
6.45,-4.00,2.00,-45.00
6.60,-3.00,4.00,-44.00
6.75,-1.00,0.00,-45.00
6.90,-4.00,-6.00,-44.00
7.05,-3.00,-6.00,-45.00
7.20,-1.00,0.00,-44.00
7.32,-2.00,3.00,-44.00
7.50,-11.00,0.00,-45.00
7.65,-28.00,-7.00,-45.00
7.80,-22.00,-7.00,-45.00
8.00,-12.00,0.00,-44.00
8.13,0.00,6.00,-44.00
8.25,5.00,8.00,-43.00
8.37,3.00,0.00,-43.00
8.52,2.00,-8.00,-4.00
8.67,22.00,-8.00,37.00
8.82,21.00,10.00,45.00
8.97,10.00,20.00,46.00
9.12,3.00,2.00,46.00
9.27,0.00,-18.00,47.00
9.42,-4.00,-20.00,46.00
9.62,0.00,0.00,46.00
9.75,-4.00,14.00,45.00
9.87,0.00,5.00,45.00
10.02,0.00,-11.00,45.00
10.17,-1.00,-12.00,46.00
10.32,-3.00,0.00,45.00
10.47,-3.00,5.00,45.00
10.62,-3.00,0.00,44.00
10.79,-7.00,-5.00,45.00
10.92,-8.00,-5.00,45.00
11.07,-9.00,0.00,45.00
11.22,-7.00,2.00,44.00
11.37,-3.00,0.00,45.00
11.52,-3.00,-3.00,44.00
11.67,-4.00,-4.00,45.00
11.82,-4.00,-2.00,44.00
11.97,-17.00,0.00,44.00
12.12,-30.00,0.00,45.00
12.27,-27.00,-2.00,45.00
12.42,-22.00,-3.00,44.00
12.57,-17.00,-2.00,44.00
12.78,-4.00,0.00,45.00
12.87,3.00,0.00,45.00
13.02,4.00,4.00,-22.00
13.17,34.00,-2.00,-42.00
13.32,41.00,-9.00,-44.00
13.47,48.00,0.00,-46.00
13.62,46.00,3.00,-46.00
13.77,35.00,0.00,-44.00
13.92,39.00,-1.00,-44.00
14.07,33.00,-1.00,-44.00
14.22,31.00,-2.00,-43.00
14.37,29.00,0.00,-44.00
14.52,28.00,-3.00,-44.00
14.67,53.00,-1.00,-44.00
14.82,85.00,0.00,-44.00
14.97,-24.00,-1.00,-44.00
15.12,-21.00,-1.00,-44.00
15.27,-58.00,-2.00,-43.00
15.42,-36.00,-3.00,-43.00
15.57,-35.00,-5.00,-43.00
15.72,-37.00,-5.00,-43.00
15.87,-32.00,-2.00,-43.00
16.02,-18.00,1.00,-43.00
16.17,-2.00,3.00,-42.00
16.32,4.00,0.00,-55.00
16.47,12.00,3.00,-132.00
16.62,34.00,-6.00,-173.00
16.77,54.00,-10.00,-177.00
16.92,29.00,-9.00,179.00
17.07,22.00,-6.00,-180.00
17.22,19.00,-6.00,-179.00
17.37,17.00,-4.00,-180.00
17.52,4.00,-3.00,179.00
17.67,0.00,-2.00,179.00
17.82,-2.00,-2.00,179.00
17.98,-3.00,-5.00,-180.00
18.12,0.00,-8.00,-180.00
18.27,0.00,-7.00,-180.00
18.42,3.00,-4.00,179.00
18.57,0.00,-2.00,179.00
18.72,2.00,-2.00,179.00
18.87,1.00,1.00,178.00
19.02,1.00,-3.00,179.00
19.17,-2.00,-8.00,-179.00
19.32,-2.00,-7.00,-179.00
19.47,-4.00,-3.00,179.00
19.62,2.00,0.00,179.00
19.77,0.00,-1.00,179.00
19.92,1.00,-1.00,179.00
20.07,-2.00,-3.00,179.00
20.22,-4.00,-4.00,179.00
20.40,-2.00,-3.00,-180.00
20.52,-4.00,-2.00,179.00
20.67,0.00,0.00,179.00
20.82,1.00,3.00,178.00
20.97,7.00,1.00,178.00
21.12,15.00,-2.00,179.00
21.27,12.00,-4.00,179.00
21.42,0.00,-4.00,-180.00
21.57,-4.00,-3.00,-180.00
21.72,-4.00,0.00,179.00
21.87,-8.00,0.00,179.00
22.02,-53.00,0.00,178.00
22.17,-52.00,-1.00,178.00
22.32,-30.00,-5.00,179.00
22.47,-20.00,-5.00,-179.00
22.68,-13.00,-1.00,179.00
22.82,-8.00,4.00,179.00
22.92,-6.00,6.00,179.00
23.07,-2.00,3.00,-180.00
23.22,-2.00,-2.00,-180.00
23.37,-5.00,-3.00,-180.00
23.52,-6.00,0.00,-180.00
